ref_id,title,author,year,study_name,kaiser_ref_id,companions,target_social_need,study_type,study_design,recruitment_setting,intervention_setting,geo_setting_description,target_population,age_group,race_ethnicity_majority,proportion_male,proportion_immigrant,risk_of_bias,comparator,sample_size,intervention_target,individual_systems_intervention,specific_intervention_components,service_provider,addresses_health_outcomes,health_outcomes,result_QALY,result_mortality,result_mental_health_status,result_functional,result_morbidity,result_quality_of_life,result_self_health,result_low_birth_weight,result_child_development,result_other_health,addresses_behavioral_outcomes,behavioral_outcomes,result_substance_use,result_diet,result_other_behavior,addresses_healthcareuse_outcomes,healthcareuse_outcomes,result_hospital_readmission,direction_hospital_readmission,result_frequency_healthcare_use,direction_frequency_healthcare_use,result_adherence,direction_adherence,result_preventive,direction_preventive,result_outpatient_visits,direction_outpatient_visits,result_emergency_visits,direction_emergency_visits,result_clinic_attendance,direction_clinic_attendance,result_emergency_transport,direction_emergency_transport,result_post_primarycare_visits,direction_post_primarycare_visits,result_prenatal,direction_prenatal,result_inpatient_admission,direction_inpatient_admission,result_hospital_days,direction_hospital_days,result_sober_center,direction_sober_center,result_medical_home,direction_medical_home,result_missed_appointments,direction_missed_appointments,result_immunizations,direction_immunizations,result_other_healthcareuse,direction_other_healthcareuse,harms,harms_text,subgroups,subgroups_comment,subgroup_results_different
*,*,*,*,*,*,*,Access to health care and primary care,Any social need that arises in population addressed,Case-control,Emergency department,Emergency department,*,Age,Adolescents/ Young Adults,Asian,#,#,High,Active control,#,Caregiver,Individual intervention,Active assistance with resources,Community health workers/ Navigators,Yes,Changes in functional outcomes,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Yes,Changes in dietary intake,Positive,Positive,Positive,Yes,Adherence to treatment,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Positive,Increase,Yes,*,Yes,*,Yes
,,,,,,,Childcare access,Medical and social need program,Cohort study,Home-based care,Home-based care,,Complex needs,Adult,Hispanic,NR,NR,Medium,Pre-intervention data,,Doctor or other clinical staff,Systems intervention,Health provider education,Healthcare providers,No,Changes in self-reported health,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative,No,Changes in substance use,Negative,Negative,Negative,No,Emergency department visits,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,Negative,Decrease,No,,No,,No
,,,,,,,Early childhood education and development,More than one clearly defined social topic addressed,Other observational,Hospital (inpatient),Hospital (inpatient),,Education,Older Adults,Non-Hispanic Black,,,Low,Waitlist control,,Patient,,Passive referrals,Lawyers,,Child development outcomes,Mixed results,Mixed results,Mixed results,Mixed results,Mixed results,Mixed results,Mixed results,Mixed results,Mixed results,Mixed results,,Other,Mixed results,Mixed results,Mixed results,,Frequency of healthcare use,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Mixed results,,Not Reported,,,,
,,,,,,,Education,One social topic addressed,Pre-post,Other,Other,,High utilization,Pediatric,Non-Hispanic White,,,,Other inactive control,,,,Patient education,Social worker,,Low birth weight,No effect,No effect,No effect,No effect,No effect,No effect,No effect,No effect,No effect,No effect,,,No effect,No effect,No effect,,Hospital days,No effect,,No effect,,No effect,,No effect,,No effect,,No effect,,No effect,,No effect,,No effect,,No effect,,No effect,,No effect,,No effect,,No effect,,No effect,,No effect,,No effect,,,,,,
,,,,,,,Employment,,RCT,Outpatient clinic,Outpatient clinic,,Homeless,,Other,,,,Other,,,,Providing onsite resources,"Other non-professionals, including volunteers and study staff>",,Mental health status,,,,,,,,,,,,,,,,,Hospital readmissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Food insecurity,,,"Primary care (family health centers, community health centers, family medicine, pediatric or VA clinics)","Primary care (family health centers, community health centers, family medicine, pediatric or VA clinics)",,Immigration status,,,,,,,,,,Screening,,,Morbidity,,,,,,,,,,,,,,,,,Immunizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Housing,,,Recruited from health plan membership,Recruited from health plan membership,,Low-income/SES,,,,,,,,,,,,,Mortality,,,,,,,,,,,,,,,,,Inpatient admissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Interpersonal violence,,,Telephone-based care,Telephone-based care,,Low-SES neighborhood,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,Medical home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Legal services,,,Transitional housing,Transitional housing,,Medical eligibility,,,,,,,,,,,,,Quality of life,,,,,,,,,,,,,,,,,Missed appointments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Not specified,,,Urgent care,Urgent care,,Medicare/Medicaid,,,,,,,,,,,,,Quality-adjusted life-years,,,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
