ref_id,title,author,year,study_name,target_social_need,study_type,study_design,recruitment_setting,intervention_setting,target_population,age_group,race_ethnicity_majority,percent_male,percent_immigrants,risk_of_bias,comparator,sample_size,intervention_target,individual_systems_intervention,specific_intervention_components,service_provider,addresses_health_outcomes,health_outcomes,result_QALY,result_mortality,result_mental_health_status,result_functional,result_morbidity,result_quality_of_life,result_self_health,result_low_birth_weight,result_child_development,result_other_health,addresses_behavioral_outcomes,behavioral_outcomes,result_substance_use,result_diet,result_diet,addresses_healthcareuse_outcomes,healthcareuse_outcomes,result_hospital_readmission,direction_hospital_readmission,result_frequency_healthcare_use,direction_frequency_healthcare_use,result_adherence,direction_adherence,result_preventive,direction_preventive,result_outpatient_visits,direction_outpatient_visits,result_emergency_visits,direction_emergency_visits,result_clinic_attendance,direction_clinic_attendance,result_post_primarycare_visits,direction_post_primarycare_visits,result_prenatal,direction_prenatal,result_inpatient_admission,direction_inpatient_admission,result_hospital_days,direction_hospital_days,result_sober_center,direction_sober_center,result_medical_home,direction_medical_home,result_immunications,direction_immunizations,result_other_healthcareuse,direction_other_healthcareuse,harms,harms_text,subgroups,subgroups_comment,subgroup_results_different
714,Addressing Unmet Basic Resource Needs as Part of Chronic Cardiometabolic Disease Management,Berkowitz,2017,Health Leads,Multiple domains targeted,Any social need that arises in population addressed,Pre-post,"Primary care (family health centers, community health centers, family medicine, pediatric or VA clinics,)","Primary care (family health centers, community health centers, family medicine, pediatric or VA clinics)",Not Targeted (No specific population targeted),,Non-Hispanic White,47,NR,,Other inactive control,5125,Patient,Individual Intervention,"Screening,Active assistance with resources (vouchers, appt scheduling, enrollment form help)","Other non-professionals, including volunteers and study staff",Yes,"Changes in functional outcomes (e.g., blood pressure)",,,,Mixed results,,,,,,,No,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Reported,,No,,
747,"Food insecurity and cardiovascular health in pregnant women: Results from the food for families program, Chelsea, Massachusetts, 2013-2015",Morales,2016,Food for Families,Food insecurity,One social topic addressed,Pre-post,"Primary care (family health centers, community health centers, family medicine, pediatric or VA clinics,)","Primary care (family health centers, community health centers, family medicine, pediatric or VA clinics)","Social Needs,Pregnancy",Adult,Hispanic,,NR,,"Pre- intervention data,Other inactive control",145,Patient,Individual Intervention,"Active assistance with resources (vouchers, appt scheduling, enrollment form help)",Not Reported,Yes,"Changes in functional outcomes (e.g., blood pressure)",,,,Mixed results,,,,,,,No,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Reported,,No,,
750,Environmental improvements brought by the legal interventions in the homes of poorly controlled inner-city adult asthmatic patients: a proof-of-concept study,O'Sullivan,2012,,"Housing instability/quality,Legal services",One social topic addressed,Pre-post,Outpatient clinic,Other : Hospital based legal-clinic,"Social Needs,Medical Eligibility","Adult,Older Adults",Hispanic,25,NR,,Pre- intervention data,12,Patient,Individual Intervention,"Providing onsite resources,Active assistance with resources (vouchers, appt scheduling, enrollment form help)","Healthcare providers (doctors, nurses, therapists, etc.),Lawyers",Yes,"Changes in functional outcomes (e.g., blood pressure)",,,,Positive,,,,,,,No,,,,,Yes,"Emergency department visits,Inpatient admissions",,,,,,,,,,,Positive,Decrease,,,,,,,Positive,Decrease,,,,,,,,,,,Not Reported,,No,,
715,Impact of a Social Work Care Coordination Intervention on Hospital Readmission: A Randomized Controlled Trial,Bronstein,2015,,"Housing instability/quality,Transportation help,Financial Strain,Access to healthcare and primary care (include improved coverage, services, and timeliness)",Medical and social need program ,RCT,Hospital (inpatient),"Telephone-based care,Home-based care","Age,Medical Eligibility",Older Adults,NR,45,NR,,Usual Care,89,Patient,Individual Intervention,"Patient education (including on health, other social need, or resources),Active assistance with resources (vouchers, appt scheduling, enrollment form help)",Social worker,No,,,,,,,,,,,,No,,,,,Yes,Hospital readmissions,Positive,Decrease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Reported,,No,,
716,Increasing use of a healthy food Incentive: A waiting room intervention among low-income patients,Cohen,2017,,Food insecurity,One social topic addressed,Pre-post,"Primary care (family health centers, community health centers, family medicine, pediatric or VA clinics,)","Primary care (family health centers, community health centers, family medicine, pediatric or VA clinics)",Not Targeted (No specific population targeted),"Adult,Older Adults",Non-Hispanic Black,15,NR,,Pre- intervention data,177,Patient,Individual Intervention,"Patient education (including on health, other social need, or resources)","Other non-professionals, including volunteers and study staff",No,,,,,,,,,,,,Yes,Changes in dietary intake,,Positive,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Reported,,No,,
1109,"Missouri Community, Public Health, and Primary Care Linkage: 2011-2012 Pilot Project Results & Evaluation",Yun,2015,NR,Multiple domains targeted,Medical and social need program ,Pre-post,Other : Community-based organizations,Other : NR,"Medical Eligibility,Rural population","Adult,Older Adults",Non-Hispanic White,75%,NR,,"Pre- intervention data,Other : Historical control of WISEWOMAN program",243,Patient,Individual Intervention,"Screening,Patient education (including on health, other social need, or resources)","Healthcare providers (doctors, nurses, therapists, etc.),Community health workers/ Navigators",Yes,"Changes in functional outcomes (e.g., blood pressure)",,,,Positive,,,,,,,Yes,"Changes in substance use,Changes in dietary intake,Other : Physical activity",No effect,Positive,Positive,Yes,Adherence to treatment (medications/follow-up visit),,,,,Positive,Increase,,,,,,,,,,,,,,,,,,,,,,,,,Not Reported,,No,,
1169,Addressing Unmet Basic Resource Needs as Part of Chronic Cardiometabolic Disease Management,Berkowitz,2016,NR,"Food insecurity,Housing instability/quality,Transportation help,Utilities help,Employment",More than one clearly defined social topic addressed,Pre-post,"Primary care (family health centers, community health centers, family medicine, pediatric or VA clinics,)","Primary care (family health centers, community health centers, family medicine, pediatric or VA clinics)",Social Needs,"Adult,Older Adults",Non-Hispanic White,44,,,Pre- intervention data,1174,Patient,Individual Intervention,"Screening,Patient education (including on health, other social need, or resources),Passive referrals,Active assistance with resources (vouchers, appt scheduling, enrollment form help)","Other non-professionals, including volunteers and study staff",Yes,"Changes in functional outcomes (e.g., blood pressure)",,,,Mixed results,,,,,,,No,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Reported,,No,,
761,A pilot food bank intervention featuring diabetes-appropriate food improved glycemic control among clients in three states,Seligman,2015,NR,"Food insecurity,Access to healthcare and primary care (include improved coverage, services, and timeliness)",More than one clearly defined social topic addressed,Pre-post,"Primary care (family health centers, community health centers, family medicine, pediatric or VA clinics,),Other : Food pantries",Other : Food pantry,"Social Needs,Medical Eligibility","Adult,Older Adults",Hispanic,26,,,Pre- intervention data,687,Patient,Individual Intervention,"Screening,Patient education (including on health, other social need, or resources),Providing onsite resources","Other non-professionals, including volunteers and study staff",Yes,"Changes in functional outcomes (e.g., blood pressure),Reduction in morbidity",,,,Positive,No effect,,,,,,Yes,Changes in dietary intake,,Positive,,Yes,Adherence to treatment (medications/follow-up visit),,,,,Positive,Increase,,,,,,,,,,,,,,,,,,,,,,,,,Not Reported,,Yes,"Statistical adjustment for age, sex, race/ ethnicity, education, language, and site",No
774,Does a multifaceted environmental intervention alter the impact of asthma on inner-city children?,Williams,2006,NR,"Housing instability/quality,Early childhood education and development",Medical and social need program ,RCT,Emergency department,Home-based care,"Age,Medical Eligibility,Residence in a low-SES neighborhood",Pediatric,Non-Hispanic Black,59,NR,Medium,Waitlist control,161,Caregiver,Individual Intervention,"Patient education (including on health, other social need, or resources),Active assistance with resources (vouchers, appt scheduling, enrollment form help)",Community health workers/ Navigators,Yes,"Changes in functional outcomes (e.g., blood pressure),Reduction in morbidity",,,,No effect,No effect,,,,,,No,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Reported,,No,,
773,Pilot study of medical-legal partnership to address social and legal needs of patients,Weintraub,2010,The Peninsula Family Advocacy Program (FAP),"Legal services,Multiple domains targeted",Any social need that arises in population addressed,Pre-post,"Primary care (family health centers, community health centers, family medicine, pediatric or VA clinics,),Hospital (inpatient)","Primary care (family health centers, community health centers, family medicine, pediatric or VA clinics),Hospital (inpatient),Other : Pediatric health van","Social Needs,Low income/SES",Pediatric,Hispanic,7.4,NR,,Pre- intervention data,102,Caregiver,Individual Intervention,"Providing onsite resources,Passive referrals,Active assistance with resources (vouchers, appt scheduling, enrollment form help)",Lawyers,Yes,Changes in self-reported health,,,,,,,Positive,,,,No,,,,,Yes,"Preventive care utilization (well child visits),Outpatient visits,Emergency department visits,Inpatient admissions,Immunizations",,,,,,,No effect,Increase,No effect,Increase,No effect,Decrease,,,,,,,Positive,Decrease,,,,,,,No effect,Increase,,,Yes,"Participants often concluded that settling the identified issue might have created other difficulties. For example, taking up legal action was perceived as too risky given potential unfavorable ramifications, particularly in the area of housing violations and landlord issues.",No,,
