ref_id,linked_references,title,user,level,initial_reviewer,secondary_reviewer,author,year,study_name,kaiser_ref_id,companions,target_social_need,study_type,study_design,study_design_comment,recruitment_setting,intervention_setting,geo_setting_description,inclusion_criteria,target_population,age_group,race_ethnicity_majority,proportion_male,proportion_immigrant,target_population_text,risk_of_bias,first_reviewer,qc_complete,first_reviewer_comments,second_reviewer_comments,SDH Interventions and Outcomes_k,intervention_arm,comparator,sample_size,intervention_description,intervention_target,nonsocial_needs,nonsocial_needs_text,individual_systems_intervention,specific_intervention_components,service_provider,duration_followup,addresses_health_outcomes,health_outcomes,result_QALY,result_mortality,result_mental_health_status,result_functional,result_morbidity,result_quality_of_life,result_self_health,result_low_birth_weight,result_child_development,result_other_health,addresses_behavioral_outcomes,behavioral_outcomes,result_substance_use,result_diet,result_other_behavior,addresses_healthcareuse_outcomes,healthcareuse_outcomes,result_hospital_readmission,direction_hospital_readmission,result_frequency_healthcare_use,direction_frequency_healthcare_use,result_adherence,direction_adherence,result_preventive,direction_preventive,result_outpatient_visits,direction_outpatient_visits,result_emergency_visits,direction_emergency_visits,result_clinic_attendance,direction_clinic_attendance,result_emergency_transport,direction_emergency_transport,result_post_primarycare_visits,direction_post_primarycare_visits,result_prenatal,direction_prenatal,result_inpatient_admission,direction_inpatient_admission,result_hospital_days,direction_hospital_days,result_sober_center,direction_sober_center,result_medical_home,direction_medical_home,result_missed_appt,direction_missed_appointments,result_immunizations,direction_immunizations,result_other_healthcareuse,direction_other_healthcareuse,harms,harms_text,subgroups,subgroups_comment,subgroup_results_different
710,,Forging a pediatric primary care-community partnership to support food-insecure families,michelle.eder,3,Beth Webber,Michelle,Beck,2014,Keeping Infants Nourished and Developing (KIND),3847,,"Food insecurity,Housing instability/quality,Legal services",More than one clearly defined social topic addressed,Cohort study,,"Primary care (family health centers, community health centers, family medicine, pediatric or VA clinics,)","Primary care (family health centers, community health centers, family medicine, pediatric or VA clinics)","Cincinnati, Ohio",Families identified as food insecure through screening questions or clinical judgment.,"Social Needs,Age",Pediatric,Non-Hispanic Black,52,NR,,,I have completed the inital review and this form is ready for QC,I have completed 2nd review and am ready to submit.,"Wasn't sure whether to call this a food insecurity target or multiple target (because of the referral/education). wasn't sure whether to say the provider is just the pediatrician providing the formula, or all the potential people involved (because of information about legal/social worker).","I changed this to include the other social needs in the screening tool (housing, legal) since providers gave education and referrals for these if screened positive.",KIND,KIND,Other inactive control,5071,"Provision of formula and educational brochures and referrals to clinical resources (e.g., social worker, medical-legal partnership), or community resources (e.g., food banks or pantries, job-training programs) as indicated.",Patient,No,,Individual Intervention,"Screening,Patient education (including on health, other social need, or resources),Health provider education,Providing onsite resources,Passive referrals,Active assistance with resources (vouchers, appt scheduling, enrollment form help)","Healthcare providers (doctors, nurses, therapists, etc.),Social worker,Lawyers",14 months,Yes,Child development outcomes,,,,,,,,,No effect,,No,,,,,Yes,"Preventive care utilization (well child visits),Emergency department visits",,,,,,,Positive,Increase,,,Negative,Decrease,,,,,,,,,,,,,,,,,,,,,,,Not Reported,,No,,
712,,Caught in the Crossfire: the effects of a peer-based intervention program for violently injured youth,michelle.eder,3,Sara Kennedy,Michelle,Becker,2004,Caught in the Crossfire,20843,,"Housing instability/quality,Education,Employment,Legal services",More than one clearly defined social topic addressed,Case-control,,Hospital (inpatient),"Hospital (inpatient),Home-based care","Oakland, CA","Youth and young adults 12-20 years old hospitalized for a violent injury under a ""trauma admit"" status between January 1999 and May 2000 who had three contacts with a Crisis Intervention Specialist within 6 months of injury. Control group participants were selected randomly from youth ages 12-20 years who were hospitalized for a violent injury and survived the previous year. The youth did not receive services from [the intervention program] and were carefully matched by age and injury severity to members of the treatment group.","Social Needs,Age","Adolescents/ Young Adults,Adult",Non-Hispanic Black,80,NR,,,I have completed the inital review and this form is ready for QC,I have completed 2nd review and am ready to submit.,"Other outcomes include arrest rates, criminal justice system involvement, placed in probation and violated probation. Did not abstract as these do no seem to fit any out outcome categories.",,Caught in the crossfire,Caught in the crossfire,Other inactive control,112,"A peer-based violence prevention intervention with peer mentors who are young adults from the same or similar communities as the youth which they serve. Crisis Intervention Specialists meet with the youth and their family and friends immediately after, or very soon after, the youth have been hospitalized for a violent injury. The peer mentors conduct initial visits at the hospital bedside whenever possible, and provide ongoing intensive follow-up services to the youth and their family members, including home visits, referrals to community services, and assistance with job placement, court and probation hearings, school enrollment, and housing.",Patient,No,,Individual Intervention,"Passive referrals,Active assistance with resources (vouchers, appt scheduling, enrollment form help)","Other non-professionals, including volunteers and study staff",6 months,Yes,Mortality,,No effect,,,,,,,,,No,,,,,Yes,Hospital readmissions,No effect,Decrease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Reported,,No,,
714,,Addressing Unmet Basic Resource Needs as Part of Chronic Cardiometabolic Disease Management,michelle.eder,3,Robyn Fortman,Michelle,Berkowitz,2017,Health Leads,,"Full methods reported in: Berkowitz SA, Hulberg AC, Hong C, et al. Addressing basic resource needs to improve primary care quality: a community collaboration programme. BMJ Qual Saf. 2016;25(3):164-72. 10.1136/bmjqs-2015-004521",Multiple domains targeted,Any social need that arises in population addressed,Pre-post,,"Primary care (family health centers, community health centers, family medicine, pediatric or VA clinics,)","Primary care (family health centers, community health centers, family medicine, pediatric or VA clinics)","Boston, MA","All patients who presented for routine care at 3 academic adult internal medicine practices completed screening for unmet basic resource needs at visit check-in. All who completed screening between Oct 1, 2013 and Apr 30, 2015 were included in the study.",Not Targeted (No specific population targeted),"Adult,Older Adults",Non-Hispanic White,47,NR,,,I have completed the inital review and this form is ready for QC,,,,Health Leads,Health Leads,Other inactive control,5125,"Patients were screened for unmet basic resource needs at clinic visits, and those who screened positive were offered a meeting with an advocate to help obtain resources. Patients who
chose to enroll in the program were assigned to an advocate, who worked with the patient to prioritize unmet basic resource needs, identify community resources and/or public benefits to meet them, and facilitate receipt of those resources and/or benefits.",Patient,No,,Individual Intervention,"Screening,Active assistance with resources (vouchers, appt scheduling, enrollment form help)","Other non-professionals, including volunteers and study staff",16 months,Yes,"Changes in functional outcomes (e.g., blood pressure)",,,,Mixed results,,,,,,,No,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Reported,,No,,
715,,Impact of a Social Work Care Coordination Intervention on Hospital Readmission: A Randomized Controlled Trial,Meera.Viswanathan,3,Sara Kennedy,Meera,Bronstein,2015,,20703,,"Housing instability/quality,Transportation help,Financial Strain,Access to healthcare and primary care (include improved coverage, services, and timeliness)",Medical and social need program,RCT,,Hospital (inpatient),"Telephone-based care,Home-based care",upstate New York,Adults aged 50 years or older admitted to inpatient units of hospital; moderate or high risk of readmission post-discharge,"Age,Medical Eligibility",Older Adults,NR,45,NR,,,I have completed the inital review and this form is ready for QC,I have completed 2nd review and am ready to submit.,,,Social Work Care Coordination,Social Work Care Coordination,Usual Care,89,"Follow-up care coordination by MSW interns after discharge designed to assess, identify, and alleviate barriers to patients remaining at home; individualized needs assessment, identified medication concerns, transportation issues, home care needs, home safety concerns, and behavioral barriers to follow-up care and activities post-discharge during 2 phone calls and home visit",Patient,Yes,"Medication concerns, home care needs, and behavioral barriers to follow-up care and activities post-discharge",Individual Intervention,"Patient education (including on health, other social need, or resources),Active assistance with resources (vouchers, appt scheduling, enrollment form help)",Social worker,30 days,No,,,,,,,,,,,,No,,,,,Yes,Hospital readmissions,Positive,Decrease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Reported,,No,,
715,,Impact of a Social Work Care Coordination Intervention on Hospital Readmission: A Randomized Controlled Trial,michelle.eder,3,Sara Kennedy,Meera,Bronstein,2015,,20703,,"Housing instability/quality,Transportation help,Financial Strain,Access to healthcare and primary care (include improved coverage, services, and timeliness)",Medical and social need program,RCT,,Hospital (inpatient),"Telephone-based care,Home-based care",upstate New York,Adults aged 50 years or older admitted to inpatient units of hospital; moderate or high risk of readmission post-discharge,"Age,Medical Eligibility",Older Adults,NR,45,NR,,,I have completed the inital review and this form is ready for QC,I have completed 2nd review and am ready to submit.,,,Social Work Care Coordination,Social Work Care Coordination,Usual Care,89,"Follow-up care coordination by MSW interns after discharge designed to assess, identify, and alleviate barriers to patients remaining at home; individualized needs assessment, identified medication concerns, transportation issues, home care needs, home safety concerns, and behavioral barriers to follow-up care and activities post-discharge during 2 phone calls and home visit",Patient,Yes,"Medication concerns, home care needs, and behavioral barriers to follow-up care and activities post-discharge",Individual Intervention,"Patient education (including on health, other social need, or resources),Active assistance with resources (vouchers, appt scheduling, enrollment form help)",Social worker,30 days,No,,,,,,,,,,,,No,,,,,Yes,Hospital readmissions,Positive,Decrease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Reported,,No,,
731,"731, 1152, 6913",Effects of social needs screening and in-person service navigation on child health: a randomized clinical trial,michelle.eder,3,Meera,Michelle,Gottlieb,2016,NR,75,"Gottlieb L, Hessler D, Long D, et al. Are acute care settings amenable to addressing patient social needs: A sub-group analysis. Am J Emerg Med. 2018;36(11):2108-2109",Multiple domains targeted,Any social need that arises in population addressed,RCT,,"Primary care (family health centers, community health centers, family medicine, pediatric or VA clinics,),Urgent care","Primary care (family health centers, community health centers, family medicine, pediatric or VA clinics),Urgent care,Telephone-based care","San Francisco and Oakland, CA","Inclusion: Families seeking children’s medical services in primary care or urgent care departments located in Zuckerberg San Francisco General Hospital and Trauma Center and University of California, San Francisco, Benioff Children’s Hospital Oakland. English speaking or Spanish-speaking caregivers 18 years or older who were familiar with the child’s household environment and were living in the county where enrollment took place.

Exclusion: families seeking health care for a child with severe illness",Not Targeted (No specific population targeted),Pediatric,Hispanic,50,NR,"Data above refer to children.
Caregivers predominantly female and had family incomes below the federal poverty level",,I have completed the inital review and this form is ready for QC,I have completed 2nd review and am ready to submit.,,Added results from #6913 for ED visits and Hospital admits,Social needs screening and in-person resource navigation services,Social needs screening and in-person resource navigation services,Active control,1809,"Ten-minute survey on social needs, followed by navigator outreach. Navigators used algorithms to provide targeted information related to community, hospital, or government resources addressing needs that participants had prioritized. Resources ranged from providing information about child care providers, transportation services, utility bill assistance, or legal services to making shelter arrangements or medical or tax preparation appointments to helping caregivers complete benefits forms or other program applications",Caregiver,No,,Individual Intervention,"Screening,Patient education (including on health, other social need, or resources),Passive referrals,Active assistance with resources (vouchers, appt scheduling, enrollment form help)","Other non-professionals, including volunteers and study staff",4 months,Yes,Other : Child global health,,,,,,,,,,Positive,No,,,,,Yes,"Hospital readmissions,Emergency department visits",Positive,Decrease,,,,,,,,,No effect,Decrease,,,,,,,,,,,,,,,,,,,,,,,Not Reported,,Yes,Patients seen in acute care settings only,No
736,"736, 719, 776",A decade of hospital-based violence intervention: Benefits and shortcomings,Meera.Viswanathan,3,Sara Kennedy,Meera,Juillard,2016,,20844,"Yes, companion is #1152 and #776 also and Dicker (#719) [which  we excluded a full text for comparator]","Housing instability/quality,Education,Employment,Legal services,Multiple domains targeted",Any social need that arises in population addressed,Cohort study,,Emergency department,Outpatient clinic,"San Francisco, CA","Included patients aged 10 to 35 years presenting to the ED with a violent injury (stab wound, gunshot wound, or blunt assault) who live or were injured in San Francisco and were rated as being at high risk of reinjuring by a case manager. Excluded patients with injuries due to domestic violence, child abuse, or that were self-inflicted.","Social Needs,Age","Pediatric,Adolescents/ Young Adults,Adult",Other,86,NR,Recruited those aged 10 to 35 years. Enrolled predominantly Black and Hispanic Males.,,I have completed the inital review and this form is ready for QC,I have completed 2nd review and am ready to submit.,"re-injury was the only outcome with historical control comparison. Companion Smith, 2013 #776 is an interim analysis reporting outcomes for a smaller subset of the sample reported in Juilliard.
Sample demographics may only include intervention arm.",,Hospital based violence intervention program,Hospital based violence intervention program,Other inactive control,459,"Clients were provided with up to 1 year of intensive case management, including mentorship, advocacy, and shepherding community resources. Ongoing case notes and updates were recorded throughout the case management process. Case management included crisis management, home visits, phone contacts, escorts to risk reduction resources, and recommendations for family therapy if necessary. Based on the needs assessment, the mentorship provided is coupled with other risk reduction resources.",Patient,Yes,Mental health services,Individual Intervention,"Patient education (including on health, other social need, or resources),Passive referrals,Active assistance with resources (vouchers, appt scheduling, enrollment form help)",Community health workers/ Navigators,Minimum of 1-year,Yes,Other : Re-injury,,,,,,,,,,Positive,No,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Reported,,No,,
738,,Patient-centered community health worker intervention to improve posthospital outcomes: a randomized clinical trial,Meera.Viswanathan,3,Robyn Fortman,Meera,Kangovi,2014,,4120,,"Access to healthcare and primary care (include improved coverage, services, and timeliness)",Medical and social need program,RCT,,Hospital (inpatient),"Primary care (family health centers, community health centers, family medicine, pediatric or VA clinics),Hospital (inpatient),Telephone-based care,Other : home visiting, medical appointments","Philadelphia, PA","Ages 18-64; observation patients or inpatients on general medicine service between 4/10/11-10/30/12; uninsured or Medicaid; English speaking; at admission expected to be discharged to home, not postacute care facility; resident of 5 Philadelphia zip codes with >30% of residents below federal poverty level and accounting for 35% of readmissions to study hospitals","Medicare/Medicaid Enrollment or Eligibility,Age,Low income/SES,Medical Eligibility,Residence in a low-SES neighborhood",Adult,Non-Hispanic Black,41,NR,,,I have completed the inital review and this form is ready for QC,I have completed 2nd review and am ready to submit.,,,IMPaCT,IMPaCT,Usual Care,446,"Goal setting: Community health workers worked with patients to create individualized action plan for achieving patient set goals for recovery

Goal support: Community health workers explained patient goals to care team and ensured patient can execute discharge instructions; support patient goals using phone calls, text messages, visits

Connection with primary care: Community health workers helped patients select primary care provider if they did not have one, coached patients to schedule/attend appointments, offered to accompany patient to first posthospital appointments; provided primary care providers with the medical discharge summary and an overview of patients' action plans during the appointment",Patient,Yes,Primary care visit,Individual Intervention,"Active assistance with resources (vouchers, appt scheduling, enrollment form help)",Community health workers/ Navigators,30 days,Yes,"Mental health status,Changes in self-reported health",,,Positive,,,,No effect,,,,No,,,,,Yes,"Hospital readmissions,Adherence to treatment (medications/follow-up visit),Post hospital primary care visit",Mixed results,Decrease,,,No effect,Increase,,,,,,,,,,,Positive,Increase,,,,,,,,,,,,,,,,,No,,No,,
743,,"The Seattle-King County Healthy Homes Project: a randomized, controlled trial of a community health worker intervention to decrease exposure to indoor asthma triggers",michelle.eder,3,Beth Webber,Michelle,Krieger,2005,"Seattle–King
County Healthy Homes Project",NA,,Housing instability/quality,One social topic addressed,RCT,,"Primary care (family health centers, community health centers, family medicine, pediatric or VA clinics,),Outpatient clinic,Hospital (inpatient),Emergency department,Other : Community referral",Home-based care,"King County, Washington","Households with a child aged 4-12 years with a diagnosis of persistent asthma; income below 200% of the federal poverty threshold or enrollment of child in Medicaid; caregiver verbally proficient in English, Spanish, or Vietnamese; child spent at least 50% of night in the house; residence in King County. Exclusion criteria were a child with another chronic illness requiring daily medications, household participation in other asthma case management or care coordination programs in the past 2 years, or plans to leave King County during the next 6 months","Age,Low income/SES,Medical Eligibility",Pediatric,NR,59,NR,Percent male is mean for children. Ethnicity only reported for caregivers- Majority non-Hispanic Black.,,I have completed the inital review and this form is ready for QC,I have completed 2nd review and am ready to submit.,,,High intensity Healthy Homes intervention,High intensity Healthy Homes intervention,Active control,274,"Community health worker conducted a structured home environmental assessment and generated specific actions for the participant and community health worker. The community health worker made 4-8 additional visits to encourage completion of the action plan, provide education and social support, deliver resources to reduce exposures (e.g., allergy control pillow), offer assistance with roach and rodent eradication, and advocate for improved housing conditions. Participants were offered free skin-prick allergy testing.",Caregiver,Yes,"Education around allergy management, allergy testing",Individual Intervention,"Patient education (including on health, other social need, or resources),Active assistance with resources (vouchers, appt scheduling, enrollment form help)",Community health workers/ Navigators,1 year,Yes,"Reduction in morbidity,Quality of life",,,,,Mixed results,Positive,,,,,No,,,,,Yes,Other : Urgent health services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,Decrease,Not Reported,,Yes,"Interaction test by child’s age, child’s asthma severity, caregiver’s educational attainment, and caregiver’s race/ethnicity",No
746,,The impact of a clinic-based literacy intervention on language development in inner-city preschool children,michelle.eder,3,Beth Webber,Michelle,Mendelsohn,2001,NR,NA,,Early childhood education and development,One social topic addressed,Other observational,cross-sectional with control,"Primary care (family health centers, community health centers, family medicine, pediatric or VA clinics,)","Primary care (family health centers, community health centers, family medicine, pediatric or VA clinics)","New York City, New York","Children aged 2 to 5.9 years old, not yet attending kindergarten, gestation age 34 weeks ore more, normal birth history, no known developmental disability (e.g., visual or hearing impairment, static encephalopathy), no severe chronic disease (e.g., cardiac disease, human immunodeficiency virus infection), and receipt of well-child care at the institution; family either Latino or Black ethnicity with either English, Spanish or bilingual English-Spanish as the primary language(s) spoken in the home; and primary caretaker available for interview on day of presentation.","Age,Race/ethnicity",Pediatric,Hispanic,56,NR,"Child demographics above
28% immigrant parents
>90% on government assistance",,I have completed the inital review and this form is ready for QC,I have completed 2nd review and am ready to submit.,could calculate % male and % immigrant. wasn't quite sure what to call study design. It looks like they did a cross sectional interview and compared pts at clinics that had the intervention in place for different periods of time. Could also see calling it a retrospective cohort. Outcomes are from adjusted vocabulary outcomes.,,Literacy support program based on Reach Out and Read,Literacy support program based on Reach Out and Read,Active control,138,"Volunteers modeled reading activities with children and discussed importance of reading with caregiver while families waited to see pediatrician. Pediatricians counseled families about the importance and fun of reading and provided a developmentally appropriate book to families at each well-child visit. Pediatric providers were trained in the program with a 1-hour seminar providing background about parent-child interaction, language and literacy development, selection of developmentally appropriate books, and strategies for incorporation of anticipatory guidance about literacy. Followup session were provided annually.","Doctor or other clinical staff,Patient",No,,Individual Intervention,"Patient education (including on health, other social need, or resources),Health provider education,Providing onsite resources","Healthcare providers (doctors, nurses, therapists, etc.),Other non-professionals, including volunteers and study staff",NA cross-sectional,Yes,Child development outcomes,,,,,,,,,Mixed results,,No,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Reported,,Yes,Latino only,Yes
